workerid,proliferate.condition,accuracy,accuracy_bool,alter_ball_visible,alter_can_infer,alter_occluders,ball_pos,character_choice,collective_ball_visible,collective_can_infer,ego_ball_visible,ego_can_infer,ego_occluders,internal_node_id,response,rt,search_locations,stimulus,time_elapsed,trial,trial_index,trial_type,error
13,Pilot (test data collection),False,0,False,False,111,2,1,False,False,True,True,010,0.0-5.0,2,21127,"[0, 2, 1]",stimuli/2111010.jpg,500061,prediction_trial,36,image-keyboard-response,
13,Pilot (test data collection),False,0,False,False,111,2,0,False,False,False,False,101,0.0-7.0,1,4743,"[0, 2, 1]",stimuli/2111101.jpg,506589,prediction_trial,38,image-keyboard-response,
13,Pilot (test data collection),True,1,True,True,010,0,0,False,True,False,True,100,0.0-9.0,0,2432,[0],stimuli/0010100.jpg,510349,prediction_trial,40,image-keyboard-response,
13,Pilot (test data collection),False,0,False,False,011,1,1,False,False,True,True,000,0.0-11.0,2,4359,"[2, 1]",stimuli/1011000.jpg,516509,prediction_trial,42,image-keyboard-response,
13,Pilot (test data collection),True,1,True,True,100,2,2,False,True,False,True,001,0.0-13.0,2,4808,[2],stimuli/2100001.jpg,522461,prediction_trial,44,image-keyboard-response,
13,Pilot (test data collection),False,0,False,False,101,0,0,False,False,False,False,111,0.0-15.0,1,5223,"[0, 2]",stimuli/0101111.jpg,529309,prediction_trial,46,image-keyboard-response,
13,Pilot (test data collection),True,1,False,False,111,1,2,False,False,True,True,100,0.0-17.0,2,3440,"[1, 2, 0]",stimuli/1111100.jpg,533725,prediction_trial,48,image-keyboard-response,
13,Pilot (test data collection),True,1,False,False,111,1,0,False,False,False,True,010,0.0-19.0,0,2999,"[1, 2, 0]",stimuli/1111010.jpg,537821,prediction_trial,50,image-keyboard-response,
13,Pilot (test data collection),False,0,False,False,111,2,0,False,False,False,True,001,0.0-21.0,2,3015,"[1, 2, 0]",stimuli/2111001.jpg,542725,prediction_trial,52,image-keyboard-response,
13,Pilot (test data collection),False,0,False,False,111,1,0,False,False,False,True,010,0.0-23.0,1,2791,"[1, 2, 0]",stimuli/1111010.jpg,546549,prediction_trial,54,image-keyboard-response,
13,Pilot (test data collection),False,0,False,True,010,1,1,False,False,False,False,111,0.0-25.0,2,4975,[1],stimuli/1010111.jpg,552701,prediction_trial,56,image-keyboard-response,
13,Pilot (test data collection),False,0,False,False,111,0,1,False,False,True,True,010,0.0-27.0,0,1839,"[0, 2, 1]",stimuli/0111010.jpg,555853,prediction_trial,58,image-keyboard-response,
13,Pilot (test data collection),True,1,False,False,111,1,1,False,False,True,True,101,0.0-29.0,1,2223,"[2, 1, 0]",stimuli/1111101.jpg,559117,prediction_trial,60,image-keyboard-response,
13,Pilot (test data collection),False,0,True,True,110,2,2,False,False,False,False,111,0.0-31.0,0,4416,[2],stimuli/2110111.jpg,564628,prediction_trial,62,image-keyboard-response,
13,Pilot (test data collection),True,1,False,True,100,0,0,False,False,False,False,111,0.0-33.0,0,3615,[0],stimuli/0100111.jpg,569516,prediction_trial,64,image-keyboard-response,
13,Pilot (test data collection),True,1,True,True,000,2,2,True,True,True,True,110,0.0-35.0,2,2247,[2],stimuli/2000110.jpg,573172,prediction_trial,66,image-keyboard-response,
13,Pilot (test data collection),True,1,False,False,111,2,1,False,False,False,False,011,0.0-37.0,1,3767,"[0, 1, 2]",stimuli/2111011.jpg,577852,prediction_trial,68,image-keyboard-response,
