workerid,proliferate.condition,accuracy,accuracy_bool,alter_ball_visible,alter_can_infer,alter_occluders,ball_pos,character_choice,collective_ball_visible,collective_can_infer,ego_ball_visible,ego_can_infer,ego_occluders,internal_node_id,response,rt,search_locations,stimulus,time_elapsed,trial,trial_index,trial_type,error
347,Experiment 5,True,1,True,True,001,0,0,True,True,True,True,011,0.0-5.0,0,1412,[0],stimuli/0001011.jpg,157190,prediction_trial,30,image-keyboard-response,
347,Experiment 5,True,1,True,True,000,0,0,False,True,False,True,100,0.0-7.0,0,799,[0],stimuli/0000100.jpg,158508,prediction_trial,32,image-keyboard-response,
347,Experiment 5,True,1,False,False,101,2,2,False,False,True,True,110,0.0-9.0,2,671,[2],stimuli/2101110.jpg,159395,prediction_trial,34,image-keyboard-response,
347,Experiment 5,True,1,False,False,111,1,1,False,False,False,False,111,0.0-11.0,1,1451,[1],stimuli/1111111.jpg,161015,prediction_trial,36,image-keyboard-response,
347,Experiment 5,True,1,True,True,101,1,1,False,True,False,True,010,0.0-13.0,1,973,[1],stimuli/1101010.jpg,162333,prediction_trial,38,image-keyboard-response,
347,Experiment 5,True,1,False,False,101,0,0,False,False,False,False,110,0.0-15.0,0,1427,[0],stimuli/0101110.jpg,163954,prediction_trial,40,image-keyboard-response,
347,Experiment 5,True,1,True,True,001,0,0,False,True,False,True,100,0.0-17.0,0,820,[0],stimuli/0001100.jpg,165250,prediction_trial,42,image-keyboard-response,
347,Experiment 5,True,1,False,False,111,0,0,False,False,True,True,000,0.0-19.0,0,495,[0],stimuli/0111000.jpg,165982,prediction_trial,44,image-keyboard-response,
347,Experiment 5,True,1,True,True,000,1,1,True,True,True,True,100,0.0-21.0,1,518,[1],stimuli/1000100.jpg,166737,prediction_trial,46,image-keyboard-response,
347,Experiment 5,True,1,False,False,110,1,1,False,False,False,True,010,0.0-23.0,1,648,[1],stimuli/1110010.jpg,167578,prediction_trial,48,image-keyboard-response,
347,Experiment 5,True,1,False,False,101,2,2,False,False,False,True,001,0.0-25.0,2,498,[2],stimuli/2101001.jpg,168203,prediction_trial,50,image-keyboard-response,
347,Experiment 5,False,0,False,False,011,1,1,False,False,False,False,111,0.0-27.0,0,1471,[1],stimuli/1011111.jpg,169800,prediction_trial,52,image-keyboard-response,
347,Experiment 5,True,1,True,True,001,1,1,False,True,False,True,010,0.0-29.0,1,885,[1],stimuli/1001010.jpg,171162,prediction_trial,54,image-keyboard-response,
347,Experiment 5,True,1,False,False,101,2,2,False,False,True,True,000,0.0-31.0,2,454,[2],stimuli/2101000.jpg,171874,prediction_trial,56,image-keyboard-response,
347,Experiment 5,True,1,False,True,010,1,1,False,True,True,True,000,0.0-33.0,1,583,[1],stimuli/1010000.jpg,172605,prediction_trial,58,image-keyboard-response,
347,Experiment 5,False,0,False,False,011,2,2,False,False,False,False,111,0.0-35.0,1,800,[2],stimuli/2011111.jpg,173511,prediction_trial,60,image-keyboard-response,
347,Experiment 5,True,1,True,True,000,1,1,True,True,True,True,000,0.0-37.0,1,430,[1],stimuli/1000000.jpg,174351,prediction_trial,62,image-keyboard-response,
347,Experiment 5,False,0,False,True,100,0,0,False,False,False,False,111,0.0-39.0,2,1452,[0],stimuli/0100111.jpg,175952,prediction_trial,64,image-keyboard-response,
347,Experiment 5,True,1,False,True,001,2,2,False,True,True,True,000,0.0-41.0,2,496,[2],stimuli/2001000.jpg,176836,prediction_trial,66,image-keyboard-response,
347,Experiment 5,False,0,False,True,001,2,2,False,False,False,False,101,0.0-43.0,0,1124,[2],stimuli/2001101.jpg,178130,prediction_trial,68,image-keyboard-response,
347,Experiment 5,True,1,False,False,111,2,2,False,False,True,True,110,0.0-45.0,2,496,[2],stimuli/2111110.jpg,179212,prediction_trial,70,image-keyboard-response,
347,Experiment 5,True,1,True,True,101,1,1,True,True,True,True,101,0.0-47.0,1,409,[1],stimuli/1101101.jpg,179769,prediction_trial,72,image-keyboard-response,
347,Experiment 5,True,1,False,False,011,1,1,False,False,True,True,100,0.0-49.0,1,474,[1],stimuli/1011100.jpg,180415,prediction_trial,74,image-keyboard-response,
347,Experiment 5,False,0,True,True,000,2,2,False,False,False,False,111,0.0-51.0,0,1883,[2],stimuli/2000111.jpg,182425,prediction_trial,76,image-keyboard-response,
347,Experiment 5,True,1,True,True,101,1,1,False,False,False,False,110,0.0-53.0,1,777,[1],stimuli/1101110.jpg,183636,prediction_trial,78,image-keyboard-response,
347,Experiment 5,True,1,False,False,011,2,2,False,False,True,True,100,0.0-55.0,2,562,[2],stimuli/2011100.jpg,184477,prediction_trial,80,image-keyboard-response,
347,Experiment 5,True,1,False,True,010,1,1,False,False,False,False,110,0.0-57.0,1,670,[1],stimuli/1010110.jpg,185295,prediction_trial,82,image-keyboard-response,
347,Experiment 5,True,1,True,True,000,2,2,True,True,True,True,100,0.0-59.0,2,734,[2],stimuli/2000100.jpg,186310,prediction_trial,84,image-keyboard-response,
347,Experiment 5,True,1,True,True,110,2,2,False,False,False,False,101,0.0-61.0,2,1496,[2],stimuli/2110101.jpg,187975,prediction_trial,86,image-keyboard-response,
347,Experiment 5,True,1,True,True,100,2,2,True,True,True,True,000,0.0-63.0,2,691,[2],stimuli/2100000.jpg,189053,prediction_trial,88,image-keyboard-response,
347,Experiment 5,True,1,False,False,011,2,2,False,False,True,True,010,0.0-65.0,2,410,[2],stimuli/2011010.jpg,189655,prediction_trial,90,image-keyboard-response,
347,Experiment 5,True,1,True,True,010,0,0,True,True,True,True,011,0.0-67.0,0,517,[0],stimuli/0010011.jpg,190341,prediction_trial,92,image-keyboard-response,
347,Experiment 5,False,0,True,True,001,0,0,False,False,False,False,101,0.0-69.0,2,1495,[0],stimuli/0001101.jpg,191965,prediction_trial,94,image-keyboard-response,
347,Experiment 5,False,0,True,True,010,0,0,False,False,False,False,111,0.0-71.0,1,734,[0],stimuli/0010111.jpg,193021,prediction_trial,96,image-keyboard-response,
347,Experiment 5,True,1,True,True,100,2,2,True,True,True,True,100,0.0-73.0,2,429,[2],stimuli/2100100.jpg,193798,prediction_trial,98,image-keyboard-response,
347,Experiment 5,False,0,False,False,101,0,0,False,False,False,False,111,0.0-75.0,2,607,[0],stimuli/0101111.jpg,194618,prediction_trial,100,image-keyboard-response,
347,Experiment 5,True,1,True,True,100,1,1,True,True,True,True,001,0.0-77.0,1,451,[1],stimuli/1100001.jpg,195391,prediction_trial,102,image-keyboard-response,
347,Experiment 5,False,0,False,False,110,0,0,False,False,False,False,101,0.0-79.0,2,780,[0],stimuli/0110101.jpg,196342,prediction_trial,104,image-keyboard-response,
347,Experiment 5,False,0,False,False,110,0,0,False,False,False,False,110,0.0-81.0,1,843,[0],stimuli/0110110.jpg,197506,prediction_trial,106,image-keyboard-response,
347,Experiment 5,False,0,False,False,111,2,2,False,False,False,False,011,0.0-83.0,1,496,[2],stimuli/2111011.jpg,198282,prediction_trial,108,image-keyboard-response,
347,Experiment 5,True,1,False,False,101,0,0,False,False,False,True,100,0.0-85.0,0,539,[0],stimuli/0101100.jpg,199013,prediction_trial,110,image-keyboard-response,
347,Experiment 5,True,1,True,True,110,2,2,True,True,True,True,010,0.0-87.0,2,408,[2],stimuli/2110010.jpg,199552,prediction_trial,112,image-keyboard-response,
347,Experiment 5,True,1,True,True,000,2,2,True,True,True,True,110,0.0-89.0,2,411,[2],stimuli/2000110.jpg,200089,prediction_trial,114,image-keyboard-response,
347,Experiment 5,True,1,False,False,111,2,2,False,False,False,True,001,0.0-91.0,2,454,[2],stimuli/2111001.jpg,200669,prediction_trial,116,image-keyboard-response,
